Date,Open,High,Low,Close,Volume
2018-01-02,4.255287392560264,4.349907398223877,4.255287392560264,4.349907398223877,33461800
2018-01-03,4.334138723147775,4.394590508238681,4.302598879325032,4.389334201812744,55940900
2018-01-04,4.410360244696825,4.457670003063985,4.368306791937105,4.397218227386475,37064900
2018-01-05,4.389332778098108,4.4313862237659185,4.355164040170127,4.423501014709473,26958200
2018-01-08,4.399845837166623,4.476068019866943,4.391960628202814,4.476068019866943,28400000
2018-01-09,4.476068019866943,4.510236256076895,4.45766919895139,4.476068019866943,35070900
2018-01-10,4.447156852255254,4.481325094334674,4.407731803296939,4.415616512298584,28547700
2018-01-11,4.436643232825177,4.547033670557341,4.426130120397525,4.5338921546936035,37921500
2018-01-12,4.478698240297348,4.575946683731067,4.473441432188277,4.547034740447998,45912100
2018-01-15,4.552290209010439,4.5838305470670555,4.5076083558649565,4.56017541885376,28945400
2018-01-16,4.560174185813892,4.6889629038645415,4.547032172961868,4.639024257659912,58618300
2018-01-17,4.70999198342493,4.825639247894287,4.681080041978396,4.825639247894287,58488900
2018-01-18,4.823009510495826,4.870319764757816,4.712619084323397,4.7888407707214355,48575800
2018-01-19,4.81249702446101,4.841408964682006,4.738903723995582,4.799355506896973,33470200
2018-01-22,4.799355859071209,4.854550838470459,4.7546739942312835,4.854550838470459,33920000
2018-01-23,4.836151832187233,4.851921752467844,4.731018194788609,4.794098377227783,35567700
2018-01-24,4.841407668481173,5.159436920498405,4.841407668481173,5.083215236663818,89768200
2018-01-25,5.083215236663818,5.083215236663818,5.083215236663818,5.083215236663818,0
2018-01-26,5.1568103680950355,5.251430396878827,5.020136380464633,5.238288879394531,81989500
2018-01-29,5.169951529438025,5.2698283588620445,5.143667994963265,5.217261791229248,55726200
2018-01-30,5.196234396555474,5.196234396555474,5.088472370233989,5.122640609741211,46203000
2018-01-31,5.188349052692555,5.238287710358156,5.172579134967445,5.177835941314697,41576600
2018-02-01,5.193605543878141,5.419643189926955,5.193605543878141,5.393359661102295,51950200
2018-02-02,5.33553556818312,5.367075901680903,5.217260445528772,5.248800277709961,50657800
2018-02-05,5.164694030502642,5.2488009285029245,5.0043654441833505,5.00436544418335,62268600
2018-02-06,4.904487821037398,5.25405740737915,4.893974710101158,5.25405740737915,74146500
2018-02-07,5.248799857378668,5.314508420696803,5.088471303777675,5.109498023986816,61910300
2018-02-08,5.138411913900988,5.188350586328068,4.941286129460027,5.006994724273682,51115100
2018-02-09,5.00173665191568,5.096356654148021,4.865062702637543,4.933399677276611,68727600
2018-02-14,4.996481068563819,5.088473191601603,4.983339050234569,5.059561252593994,43402800
2018-02-15,5.12526872478109,5.135782337156214,5.038533427952845,5.098985195159912,31978000
2018-02-16,5.114755914373154,5.146296255127255,5.075330864418059,5.10424280166626,34736300
2018-02-19,5.138409754634976,5.282968903268347,5.138409754634976,5.269826889038086,40925500
2018-02-20,5.225146413374977,5.472210831204275,5.209376493480214,5.372334003448486,67418700
2018-02-21,5.411758554556726,5.487980244779824,5.322394847869873,5.322394847869873,55678400
2018-02-22,5.411758274375016,5.4722100430285225,5.398616759908303,5.451183319091797,38170900
2018-02-23,5.506378825200108,5.55631698161193,5.419643525627847,5.551060676574707,55755600
2018-02-26,5.62465434790934,5.700876541343687,5.619397541193176,5.656194686889648,48160500
2018-02-27,5.643052347596854,5.742929664229239,5.608884108527872,5.650937557220459,42912500
2018-02-28,5.685107067119203,5.721904218938218,5.566831904226212,5.640425205230713,66229400
2018-03-01,5.624653182675384,5.640423098240215,5.456439413139643,5.52740478515625,66380900
2018-03-02,5.440670698738369,5.653566360473633,5.390732036888527,5.653566360473633,52682900
